iter	Logloss
0	0.6439076607
1	0.5973598265
2	0.555873544
3	0.5100385566
4	0.4690195384
5	0.4423217424
6	0.4208404589
7	0.3977882251
8	0.3805688978
9	0.3575817508
10	0.3433584396
11	0.3308541295
12	0.3156990387
13	0.3077969246
14	0.2906613891
15	0.2804038094
16	0.2740704558
17	0.262462755
18	0.2484997756
19	0.2390487293
20	0.2299871333
21	0.2267545535
22	0.2216520973
23	0.2155357127
24	0.2122062795
25	0.2028110245
26	0.1992328713
27	0.1970656368
28	0.192866278
29	0.1885354792
30	0.186569225
31	0.1817246257
32	0.1773932794
33	0.1743674352
34	0.1720473327
35	0.1700422432
36	0.1662772889
37	0.1635734212
38	0.1608078298
39	0.1590538962
40	0.1576551185
41	0.1565869145
42	0.1553728371
43	0.1530137642
44	0.1515079533
45	0.1506523697
46	0.1493908351
47	0.1485610008
48	0.1478713239
49	0.1469557849
50	0.1456091939
51	0.1447680778
52	0.1438610292
53	0.1419346189
54	0.1406305228
55	0.139338179
56	0.138876792
57	0.1382531893
58	0.1377062618
59	0.137365915
60	0.1369053884
61	0.1364003757
62	0.1358581324
63	0.1352721786
64	0.1347647754
65	0.1343100056
66	0.1338479144
67	0.1326783289
68	0.1322094491
69	0.1319522843
70	0.1316797494
71	0.1313654323
72	0.1308620748
73	0.1296205969
74	0.1293374718
75	0.1290025079
76	0.12837176
77	0.1281414573
78	0.1277163993
79	0.1275297445
80	0.1273386584
81	0.1271422853
82	0.1264696574
83	0.1262181121
84	0.1260013378
85	0.1258276107
86	0.1256283117
87	0.1250019536
88	0.1248563919
89	0.1246518622
90	0.1240059551
91	0.1238270197
92	0.1236926882
93	0.123545635
94	0.1233531374
95	0.1231370322
96	0.1229724808
97	0.1227523495
98	0.1226529537
99	0.1224154321
100	0.1221839176
101	0.1219944808
102	0.1218191035
103	0.1217380793
104	0.1216276293
105	0.1214784371
106	0.1208773457
107	0.1206671832
108	0.1204853829
109	0.1202864571
110	0.1201562831
111	0.1200083821
112	0.1198469315
113	0.1197340682
114	0.1195181656
115	0.1193687647
116	0.1188199421
117	0.1187044811
118	0.1185810802
119	0.118428294
120	0.1183268182
121	0.1181656628
122	0.1180701346
123	0.1179186065
124	0.1178045223
125	0.1176713634
126	0.1175147388
127	0.117382344
128	0.1172586529
129	0.1171269787
130	0.1168359621
131	0.1163343999
132	0.1162483713
133	0.1161479388
134	0.1160515333
135	0.1159955896
136	0.1158955447
137	0.1157484782
138	0.1156684431
139	0.1155465426
140	0.1154620928
141	0.1153082268
142	0.1152259874
143	0.114873766
144	0.114802472
145	0.1147130609
146	0.1146134238
147	0.1144829708
148	0.1143739887
149	0.1142759971
150	0.1141674518
151	0.1140616507
152	0.1139238249
153	0.1138151657
154	0.1136956135
155	0.1136135453
156	0.1135170625
157	0.1134421103
158	0.1133814693
159	0.113301703
160	0.1132237726
161	0.1131507846
162	0.1130478156
163	0.1129492126
164	0.1128570784
165	0.1126081247
166	0.1124795189
167	0.112377912
168	0.1122893006
169	0.1122156561
170	0.1121192965
171	0.1120375945
172	0.1119481555
173	0.1118039181
174	0.1115182889
175	0.1114513722
176	0.1113839343
177	0.1112842697
178	0.1112167752
179	0.1111310889
180	0.1110545752
181	0.1109810228
182	0.1108988848
183	0.1107906051
184	0.1107254216
185	0.1105721342
186	0.1104621941
187	0.1102904967
188	0.1101487354
189	0.1100327776
190	0.1099288572
191	0.1098417719
192	0.1097399678
193	0.1096318656
194	0.1095622716
195	0.1094633161
196	0.1093691303
197	0.1092416265
198	0.1091693975
199	0.1091045669
200	0.108980719
201	0.1088681714
202	0.1087826295
203	0.1087088468
204	0.1086362806
205	0.1085371509
206	0.1084469248
207	0.10818381
208	0.1080963157
209	0.1080081629
210	0.1078906559
211	0.1078144882
212	0.1077298192
213	0.1076435555
214	0.1075085902
215	0.1073909356
216	0.1072793917
217	0.1072032752
218	0.1070966824
219	0.1070451128
220	0.1069835627
221	0.1069010046
222	0.10684121
223	0.1067606712
224	0.1066900385
225	0.1066085796
226	0.1065233891
227	0.1064110331
228	0.1062528899
229	0.1061736196
230	0.1060978469
231	0.1060018675
232	0.1059293504
233	0.1058450801
234	0.1057576405
235	0.1055152622
236	0.105404045
237	0.1053434687
238	0.1052795815
239	0.1052170878
240	0.1051370011
241	0.1050394318
242	0.1049445276
243	0.1048831255
244	0.1047913615
245	0.1047221391
246	0.1046226769
247	0.1045691845
248	0.1044855847
249	0.1043372478
250	0.1042291311
251	0.1041452733
252	0.1040648277
253	0.1039751451
254	0.1038935896
255	0.1038354753
256	0.1037244
257	0.103685059
258	0.1036213589
259	0.103523754
260	0.1034704324
261	0.1034000315
262	0.1033365999
263	0.1032576469
264	0.1031943576
265	0.1030638649
266	0.1029839051
267	0.1028929272
268	0.1028205117
269	0.1027206373
270	0.1026556142
271	0.1025979314
272	0.1025098178
273	0.1024542816
274	0.1023838724
275	0.1023029686
276	0.1022136941
277	0.1021136501
278	0.102070669
279	0.1020084505
280	0.1019140826
281	0.1018210346
282	0.1017563679
283	0.101695862
284	0.1016184625
285	0.1015645474
286	0.1015012025
287	0.1014159428
288	0.1013601976
289	0.1012931313
290	0.1012214035
291	0.1011639149
292	0.1011157675
293	0.1010574733
294	0.1009843239
295	0.1009173598
296	0.1008353586
297	0.1007833866
298	0.1007438707
299	0.1006409987
300	0.1005798874
301	0.1004920609
302	0.1004338433
303	0.1003668628
304	0.1002968082
305	0.1002109344
306	0.1001531979
307	0.1000989869
308	0.1000180531
309	0.09990435938
310	0.09986147534
311	0.09960492381
312	0.09951965096
313	0.09944978446
314	0.09938257154
315	0.09933096012
316	0.09907883994
317	0.09898919769
318	0.09895660622
319	0.09890427955
320	0.09884418874
321	0.0987827475
322	0.0987104077
323	0.09864864535
324	0.09857578325
325	0.09853666511
326	0.09847539303
327	0.09843518631
328	0.09840161128
329	0.09832790701
330	0.09827174749
331	0.09819945992
332	0.09813210814
333	0.09804677076
334	0.0979749665
335	0.09793406219
336	0.09788365821
337	0.0978502541
338	0.09775600842
339	0.09767120812
340	0.09758908443
341	0.09751648459
342	0.09747888556
343	0.09740834867
344	0.09734165145
345	0.09726674776
346	0.09720001262
347	0.0971583235
348	0.09713045718
349	0.09708119125
350	0.09701832288
351	0.09698835852
352	0.09694803718
353	0.09687445386
354	0.09681530368
355	0.0967592549
356	0.0966951473
357	0.09662848636
358	0.09655646281
359	0.09648701461
360	0.09640934209
361	0.09633409222
362	0.09626748101
363	0.09622394796
364	0.09616401909
365	0.09608926826
366	0.09600605499
367	0.09594503041
368	0.09589204489
369	0.09585509205
370	0.09581110053
371	0.09574628905
372	0.09566723924
373	0.09562387884
374	0.09555549657
375	0.09546430592
376	0.09542144402
377	0.09529724773
378	0.09524087211
379	0.09518676967
380	0.09514953538
381	0.09511582074
382	0.09504921208
383	0.09499494757
384	0.09492801912
385	0.09487922155
386	0.09480193169
387	0.09472838474
388	0.09468860814
389	0.09462631105
390	0.0945753219
391	0.09452085903
392	0.09448590909
393	0.09443530606
394	0.09438797634
395	0.09432594961
396	0.0942601462
397	0.09418764406
398	0.09412972188
399	0.09407505211
400	0.09402798852
401	0.09397585167
402	0.09391011527
403	0.09386321129
404	0.09380565185
405	0.09373897976
406	0.09367715735
407	0.09362242556
408	0.09357890587
409	0.09354846662
410	0.09352445118
411	0.09348905175
412	0.0934437459
413	0.0933748756
414	0.09330608585
415	0.09321487496
416	0.09317463292
417	0.0931012795
418	0.09303795131
419	0.09298998053
420	0.09293190347
421	0.09289401646
422	0.09281900181
423	0.0927549895
424	0.09270642282
425	0.0926515385
426	0.09259989986
427	0.09255656544
428	0.09249922896
429	0.09245704562
430	0.09239528663
431	0.09234119217
432	0.0923151106
433	0.09227661199
434	0.09223751551
435	0.09216454875
436	0.0920906331
437	0.09204845082
438	0.09199215195
439	0.09196352191
440	0.09189893683
441	0.09182829618
442	0.09178505425
443	0.09172581189
444	0.0916812108
445	0.09161477607
446	0.09154043027
447	0.09148432034
448	0.09142879259
449	0.09138209813
450	0.09133968061
451	0.09128710042
452	0.09122285196
453	0.09115167782
454	0.09111632555
455	0.09108307772
456	0.09103042087
457	0.09099153012
458	0.09093222609
459	0.09088617573
460	0.09084370485
461	0.09079830968
462	0.09074475892
463	0.09068552968
464	0.09062013399
465	0.09059881403
466	0.09053486574
467	0.09050220649
468	0.0904526766
469	0.09040633981
470	0.0903683686
471	0.09031469659
472	0.09025839307
473	0.09019797664
474	0.09015953416
475	0.09012921279
476	0.0900789494
477	0.0900354933
478	0.09000164875
479	0.08996069157
480	0.08991532146
481	0.08984901782
482	0.08977778159
483	0.08972817556
484	0.08968958459
485	0.08965405992
486	0.08961568858
487	0.08956984928
488	0.08952517329
489	0.08934647096
490	0.08931218543
491	0.0892470232
492	0.0892092103
493	0.08918017805
494	0.08912505021
495	0.08906852021
496	0.08901841214
497	0.08897577773
498	0.08891477265
499	0.08887136492
500	0.08881157582
501	0.08877484673
502	0.08871739196
503	0.08866804785
504	0.08860599377
505	0.08856765521
506	0.08851125579
507	0.0884784809
508	0.08841628901
509	0.08836360618
510	0.08831507777
511	0.08827348244
512	0.0882061672
513	0.08817723714
514	0.08814208914
515	0.0880981142
516	0.08807954306
517	0.08804036945
518	0.0879832172
519	0.08794249958
520	0.08791101017
521	0.08785941137
522	0.0878178504
523	0.08777001717
524	0.0877463366
525	0.08771160394
526	0.087642267
527	0.08759804349
528	0.08755894286
529	0.08752585476
530	0.0874710729
531	0.08743047975
532	0.08739992591
533	0.08736995844
534	0.08732350997
535	0.08728597427
536	0.08725918705
537	0.08721521754
538	0.08715788451
539	0.08709559378
540	0.08704746034
541	0.0869935487
542	0.0869274484
543	0.08685516395
544	0.08681890183
545	0.08678438029
546	0.08675298291
547	0.08672645204
548	0.08667740965
549	0.08663728838
550	0.08660110048
551	0.08657346314
552	0.08652728961
553	0.08648883762
554	0.08642052788
555	0.08638304415
556	0.08634859792
557	0.08629879963
558	0.08623608001
559	0.08621348817
560	0.08617919715
561	0.08613588138
562	0.08605379888
563	0.08601146513
564	0.08596116825
565	0.08592839389
566	0.08587981979
567	0.08581784888
568	0.08575858761
569	0.08572917252
570	0.08568123513
571	0.08560525114
572	0.08556288397
573	0.08550743098
574	0.08546837593
575	0.08542815042
576	0.08539422993
577	0.08535481879
578	0.08531841786
579	0.08525722607
580	0.08521926932
581	0.08516968228
582	0.08513105356
583	0.08509395516
584	0.08505231928
585	0.08500581559
586	0.08497275636
587	0.08495062111
588	0.08492458941
589	0.08487670916
590	0.08483989114
591	0.08481482464
592	0.08477480957
593	0.08473500919
594	0.08468945967
595	0.08464590546
596	0.08461058384
597	0.08458173975
598	0.08454151352
599	0.08451417423
600	0.08447171231
601	0.08444060975
602	0.08441126646
603	0.08436147134
604	0.08431245947
605	0.08425822292
606	0.08422385473
607	0.08416366877
608	0.08413997625
609	0.08410600391
610	0.08405282451
611	0.08400807043
612	0.08397680359
613	0.08391135287
614	0.08388368131
615	0.08383304784
616	0.08378556963
617	0.08373343894
